Name,Value,Timestamp,Step
"train_loss",4.101656913757324,1627559482684,49
"epoch",0,1627559482684,49
"val_loss",2.6896562576293945,1627559491036,57
"epoch",0,1627559491036,57
"train_loss",4.598623752593994,1627559499092,99
"epoch",1,1627559499092,99
"val_loss",2.472928047180176,1627559505946,115
"epoch",1,1627559505946,115
"train_loss",1.4196646213531494,1627559515636,149
"epoch",2,1627559515636,149
"val_loss",2.311669111251831,1627559521015,173
"epoch",2,1627559521015,173
"train_loss",0.9744294881820679,1627559532066,199
"epoch",3,1627559532066,199
"val_loss",2.2401840686798096,1627559535896,231
"epoch",3,1627559535896,231
"train_loss",2.785480260848999,1627559548623,249
"epoch",4,1627559548623,249
